,postcode,easting,northing,Unnamed: 0,price,date,type,seconds,years,QS501EW_0,QS501EW_1,QS501EW_2,QS501EW_3,QS501EW_4,QS501EW_5,QS501EW_6,QS501EW_7,lat,lon,oa
3962,HA2 0YA,514643,186635,20909513,379950,2015-05-22 00:00,T,1432249200.0,2015.0,249.0,57.0,27.0,33.0,6.0,29.0,64.0,33.0,51.566945,-0.347354,E00010715
3963,UB9 4BD,504669,184757,841027,111950,1996-10-31 00:00,S,846720000.0,1996.0,323.0,56.0,43.0,50.0,16.0,50.0,87.0,21.0,51.552002,-0.491758,E00089881
3964,SL9 8LX,499879,189588,10799758,457500,2004-07-23 00:00,S,1090537200.0,2004.0,258.0,32.0,11.0,44.0,10.0,30.0,128.0,3.0,51.596167,-0.559452,E00089571
3965,WD6 2RB,520814,196365,11387404,180000,2005-12-20 00:00,T,1135036800.0,2005.0,209.0,59.0,32.0,25.0,6.0,24.0,56.0,7.0,51.653102,-0.255013,E00119594
3966,E11 4DG,538799,186958,11986353,220000,2005-10-11 00:00,T,1128985200.0,2005.0,302.0,31.0,32.0,24.0,2.0,25.0,132.0,56.0,51.564581,0.001377,E00022002
3967,SM3 9NA,524419,166192,19307733,336000,2014-09-19 00:00,S,1411081200.0,2014.0,284.0,73.0,53.0,55.0,12.0,31.0,36.0,24.0,51.381327,-0.213909,E00020809
3968,SL1 5LZ,494128,180212,11374418,190000,2005-01-25 00:00,T,1106611200.0,2005.0,271.0,60.0,52.0,45.0,13.0,42.0,43.0,16.0,51.513003,-0.644956,E00083167
3969,NW4 2QH,523840,188616,16192952,270000,2009-01-05 00:00,F,1231113600.0,2009.0,258.0,36.0,15.0,19.0,1.0,29.0,112.0,46.0,51.582787,-0.214046,E00001176
3970,LU4 9RZ,506324,223254,12090190,105000,2005-02-01 00:00,T,1107216000.0,2005.0,334.0,85.0,46.0,49.0,9.0,35.0,69.0,41.0,51.897708,-0.456141,E00079471
3971,TW2 5DA,514574,172932,9750385,298000,2003-11-27 00:00,T,1069891200.0,2003.0,201.0,14.0,13.0,23.0,6.0,18.0,120.0,7.0,51.443554,-0.353179,E00019628
