,postcode,easting,northing,Unnamed: 0,price,date,type,seconds,years,QS501EW_0,QS501EW_1,QS501EW_2,QS501EW_3,QS501EW_4,QS501EW_5,QS501EW_6,QS501EW_7,lat,lon,oa
1502,WD4 8EB,507210,202405,9311388,238000,2003-09-12 00:00,S,1063321200.0,2003.0,225.0,48.0,41.0,33.0,9.0,17.0,68.0,9.0,51.710146,-0.44974,E00118911
1503,SS7 5SP,577140,188182,7975311,123500,2002-11-08 00:00,S,1036713600.0,2002.0,236.0,85.0,35.0,31.0,13.0,26.0,31.0,15.0,51.56469,0.554323,E00109111
1504,N12 7LF,525038,192013,11048993,415000,2004-11-18 00:00,S,1100736000.0,2004.0,260.0,22.0,13.0,39.0,2.0,28.0,117.0,39.0,51.613069,-0.19554,E00001363
1505,BR5 2RH,546296,169703,13526331,372500,2006-11-08 00:00,D,1162944000.0,2006.0,225.0,47.0,30.0,29.0,12.0,18.0,76.0,13.0,51.407488,0.102023,E00003576
1506,ME2 2TW,571292,169323,5301971,155000,2000-11-03 00:00,D,973209600.0,2000.0,265.0,63.0,40.0,39.0,14.0,42.0,50.0,17.0,51.397082,0.460896,E00081665
1507,CM5 9JS,555386,202901,9611225,219500,2003-03-07 00:00,S,1046995200.0,2003.0,221.0,41.0,23.0,35.0,4.0,29.0,73.0,16.0,51.703324,0.247166,E00110500
1508,AL5 4RR,514502,214859,5403816,142500,2000-03-29 00:00,S,954284400.0,2000.0,232.0,12.0,14.0,30.0,7.0,22.0,143.0,4.0,51.820634,-0.340133,E00120285
1509,UB7 7DL,505392,179093,828169,56000,1996-07-19 00:00,F,837730800.0,1996.0,303.0,114.0,30.0,35.0,8.0,29.0,67.0,20.0,51.50095,-0.483042,E00012571
1510,E17 7PF,536370,188728,1369282,60000,1996-06-25 00:00,T,835657200.0,1996.0,244.0,45.0,24.0,24.0,3.0,21.0,76.0,51.0,51.580931,-0.033252,E00171730
1511,SM4 4QZ,523829,166974,11397459,225000,2005-10-21 00:00,T,1129849200.0,2005.0,291.0,68.0,48.0,47.0,9.0,32.0,75.0,12.0,51.388308,-0.221772,E00017296
1512,RH4 2EN,516295,148972,20074889,122000,2015-03-11 00:00,F,1426032000.0,2015.0,243.0,27.0,18.0,44.0,1.0,29.0,102.0,22.0,51.228037,-0.33589,E00155736
1513,UB5 4JN,513871,185021,9560155,152950,2003-02-11 00:00,F,1044921600.0,2003.0,284.0,64.0,33.0,32.0,6.0,30.0,74.0,45.0,51.552595,-0.359009,E00006563
1514,ME5 7QD,576439,164342,2884864,86500,1998-08-28 00:00,D,904258800.0,1998.0,257.0,29.0,48.0,58.0,10.0,41.0,61.0,10.0,51.350762,0.532336,E00081301
1515,E13 0SG,541003,183724,668893,31000,1995-12-13 00:00,F,818812800.0,1995.0,347.0,82.0,30.0,38.0,6.0,25.0,113.0,53.0,51.534818,0.031563,E00018041
1516,NW2 4RY,523739,185169,13797280,235000,2007-09-14 00:00,F,1189724400.0,2007.0,231.0,23.0,18.0,17.0,3.0,28.0,121.0,21.0,51.551869,-0.216829,E00002710
1517,SW4 9LY,529628,174663,14123194,438258,2007-11-30 00:00,F,1196380800.0,2007.0,242.0,7.0,6.0,20.0,2.0,20.0,175.0,12.0,51.456114,-0.135668,E00015253
1518,N16 6ND,534166,187277,3191044,82950,1998-09-30 00:00,F,907110000.0,1998.0,369.0,76.0,44.0,39.0,2.0,26.0,147.0,35.0,51.56837,-0.065658,E00008590
1519,ME2 4TA,573770,169594,14789139,82000,2007-05-31 00:00,F,1180566000.0,2007.0,294.0,72.0,50.0,54.0,14.0,31.0,56.0,17.0,51.398731,0.496453,E00081587
1520,UB3 5HZ,509637,177071,11787874,200000,2005-12-12 00:00,S,1134345600.0,2005.0,307.0,28.0,41.0,30.0,3.0,30.0,97.0,78.0,51.481969,-0.422537,E00012200
1521,SE6 4UN,536680,173631,9999192,169995,2003-07-22 00:00,T,1058828400.0,2003.0,216.0,25.0,22.0,35.0,3.0,16.0,95.0,20.0,51.445183,-0.03463,E00016317
1522,W10 4JE,524330,182765,2105271,123000,1997-10-14 00:00,T,876783600.0,1997.0,303.0,60.0,35.0,26.0,4.0,28.0,112.0,38.0,51.530124,-0.209072,E00023852
1523,CR0 5AL,537065,164056,15071578,420000,2008-07-24 00:00,D,1216854000.0,2008.0,278.0,39.0,28.0,41.0,15.0,25.0,111.0,19.0,51.359046,-0.032789,E00005297
1524,WD7 7DX,516749,200485,2360576,545000,1997-07-08 00:00,D,868316400.0,1997.0,285.0,29.0,31.0,49.0,3.0,33.0,130.0,10.0,51.690782,-0.313014,E00119476
1525,RH4 1ET,516431,149808,4694615,152000,1999-03-12 00:00,S,921196800.0,1999.0,242.0,24.0,29.0,45.0,3.0,31.0,100.0,10.0,51.235631,-0.333668,E00155723
1526,CR4 1EB,528732,168660,12694957,165000,2006-01-12 00:00,F,1137024000.0,2006.0,255.0,52.0,30.0,42.0,2.0,32.0,71.0,26.0,51.40237,-0.150736,E00017370
1527,SW4 8EE,530077,174404,4872027,97500,1999-03-26 00:00,F,922406400.0,1999.0,181.0,17.0,14.0,16.0,3.0,23.0,85.0,23.0,51.453684,-0.129304,E00015229
1528,EN3 5XJ,535080,197549,12879421,115000,2006-11-17 00:00,F,1163721600.0,2006.0,258.0,117.0,34.0,28.0,5.0,10.0,38.0,26.0,51.660473,-0.048043,E00007515
1529,AL4 0EN,517061,207903,5235670,250000,2000-08-25 00:00,S,967158000.0,2000.0,262.0,24.0,34.0,31.0,10.0,32.0,118.0,13.0,51.75759,-0.305367,E00120181
1530,E14 3ER,538436,178532,20606539,522500,2015-05-11 00:00,F,1431298800.0,2015.0,221.0,49.0,35.0,24.0,2.0,28.0,59.0,24.0,51.489143,-0.008727,E00021229
1531,ME7 5HX,576951,167837,2999035,77000,1998-11-10 00:00,T,910656000.0,1998.0,287.0,58.0,46.0,49.0,12.0,28.0,65.0,29.0,51.382035,0.541406,E00081112
1532,TN6 1BW,551293,131101,3820529,80000,1998-02-04 00:00,F,886550400.0,1998.0,183.0,43.0,27.0,35.0,10.0,17.0,42.0,9.0,51.059334,0.157725,E00107504
1533,TN6 1TD,550907,132290,3910539,205000,1999-08-09 00:00,D,934153200.0,1999.0,261.0,44.0,30.0,48.0,9.0,36.0,86.0,8.0,51.070107,0.152518,E00107564
1534,W11 4NL,524317,180380,18811168,1950000,2013-12-11 00:00,F,1386720000.0,2013.0,169.0,20.0,3.0,11.0,2.0,8.0,108.0,17.0,51.508657,-0.209976,E00014408
1535,UB2 4EH,512573,179102,9081355,175000,2003-06-25 00:00,T,1056495600.0,2003.0,395.0,99.0,57.0,43.0,3.0,24.0,98.0,71.0,51.499656,-0.379612,E00006790
1536,W11 1PG,524370,181146,18356680,280000,2013-08-05 00:00,F,1375657200.0,2013.0,239.0,32.0,20.0,18.0,0.0,26.0,117.0,26.0,51.515547,-0.209024,E00014431
1537,ME2 2HB,572897,168839,5968026,63995,2000-02-04 00:00,S,949622400.0,2000.0,223.0,56.0,39.0,47.0,12.0,26.0,29.0,14.0,51.392372,0.483802,E00081636
1538,EN4 8NX,528352,194189,21115524,558000,2016-10-21 00:00,T,1477004400.0,2016.0,269.0,42.0,28.0,45.0,7.0,32.0,96.0,19.0,51.631862,-0.146951,E00000587
1539,E1W 2PF,534780,180093,8662969,140000,2002-04-04 00:00,F,1017874800.0,2002.0,267.0,56.0,15.0,14.0,1.0,15.0,142.0,24.0,51.503708,-0.05949,E00021610
1540,SL3 8QJ,501887,177477,864621,99000,1996-08-16 00:00,D,840150000.0,1996.0,298.0,47.0,47.0,48.0,9.0,40.0,89.0,18.0,51.487064,-0.533827,E00083220
1541,SG2 8QW,524632,222430,3418704,71950,1998-08-13 00:00,T,902962800.0,1998.0,246.0,66.0,45.0,50.0,7.0,20.0,47.0,11.0,51.886479,-0.190539,E00120781
1542,KT6 7JU,519319,165338,20294981,370000,2015-12-07 00:00,S,1449446400.0,2015.0,298.0,53.0,41.0,47.0,6.0,45.0,73.0,33.0,51.37457,-0.287105,E00015126
1543,KT3 6JW,522672,167835,15016164,170000,2008-08-20 00:00,F,1219186800.0,2008.0,259.0,38.0,38.0,24.0,4.0,23.0,115.0,17.0,51.396297,-0.238094,E00017558
1544,E15 1SR,539492,185530,6879441,116000,2001-11-12 00:00,T,1005523200.0,2001.0,312.0,43.0,26.0,31.0,5.0,48.0,90.0,69.0,51.551422,0.010507,E00017918
1545,AL4 9QB,516775,208826,3824429,198000,1998-04-18 00:00,S,892854000.0,1998.0,336.0,36.0,31.0,46.0,13.0,40.0,158.0,12.0,51.765945,-0.309199,E00120404
1546,NW9 8LP,520645,187688,20636434,120000,2015-03-04 00:00,F,1425427200.0,2015.0,371.0,74.0,41.0,47.0,4.0,37.0,97.0,71.0,51.575148,-0.260439,E00003039
1547,HA8 5DW,519702,190623,287397,83000,1995-01-20 00:00,S,790560000.0,1995.0,344.0,74.0,39.0,39.0,6.0,40.0,87.0,59.0,51.601791,-0.273125,E00010634
1548,W11 4LR,524246,180599,3588623,700000,1998-07-02 00:00,T,899334000.0,1998.0,174.0,29.0,12.0,8.0,0.0,13.0,99.0,13.0,51.510667,-0.211017,E00014413
1549,SE9 3UQ,544580,172658,9118824,202000,2003-11-28 00:00,S,1069977600.0,2003.0,235.0,40.0,36.0,48.0,10.0,21.0,64.0,16.0,51.43448,0.078572,E00002093
1550,NW4 3EU,522502,188209,19578809,635000,2014-12-11 00:00,S,1418256000.0,2014.0,337.0,84.0,26.0,29.0,4.0,27.0,113.0,54.0,51.579423,-0.233575,E00001499
1551,CR0 4NG,531253,164828,908051,47000,1996-11-18 00:00,F,848275200.0,1996.0,256.0,33.0,34.0,33.0,4.0,40.0,88.0,24.0,51.367356,-0.11593,E00005824
1552,DA3 8LQ,561074,165572,20794213,378000,2015-12-21 00:00,D,1450656000.0,2015.0,263.0,15.0,47.0,54.0,11.0,25.0,108.0,3.0,51.366373,0.312448,E00123926
